"Note: A 2% flat Payment Fee applies to all categories and is included in the final commission fee listed under the column ""Total Fee with Payment and VAT"".",,,,,,,,,,,,,,
Category,Sub-category 1,Sub-category 2,Sub-category 3,Sub-category 4,Commission,Total Fee with Payment and VAT,,,,,,,,
Bags and Travel,Kids Bags,Accessories,,,15.00%,19.21%,once read Categories sequence then genrate hashtags for each last categories (child categories) so that hashtags will assist in making relevant category suggestions when users search for specific products on your website.,,,,,,,
Bags and Travel,Kids Bags,Backpacks,,,15.00%,19.21%,,,,,,,,
Bags and Travel,Kids Bags,Backpacks Trolley,,,15.00%,19.21%,,,,,,,,
Bags and Travel,Kids Bags,Bags,,,15.00%,19.21%,,,,,,,,
Bags and Travel,Men Bags,Backpacks,Fashion backpacks,,15.00%,19.21%,"once read Categories sequence then write Height length width, and weight for each last categories (child categories) so that Dimensions and weight will assist correctly shipping cost

once read Categories sequence then write Height length width, and weight for each last categories (child categories) to assist in calculating shipping costs accurately",,,,,,,
Bags and Travel,Men Bags,Business Bags,,,15.00%,19.21%,,,,,,,,
Bags and Travel,Men Bags,Crossbody Bags,,,15.00%,19.21%,,,,,,,,
Bags and Travel,Men Bags,Messenger Bags,,,15.00%,19.21%,,,,,,,,
Bags and Travel,Men Bags,Tote Bags,,,15.00%,19.21%,,,,,,,,
Bags and Travel,Men Bags,Wallets & Accessories,Wallets,,15.00%,19.21%,,,,,,,,
Bags and Travel,Men Bags,Wallets & Accessories,Card Holders,,15.00%,19.21%,,,,,,,,
Bags and Travel,Men Bags,Wallets & Accessories,Key Holders,,15.00%,19.21%,,,,,,,,
Bags and Travel,Men Bags,Wallets & Accessories,Money Clips,,15.00%,19.21%,,,,,,,,
Bags and Travel,Men Bags,Wallets & Accessories,Coin Holders & Pouches,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Laptop Bags,Laptop Backpacks,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Laptop Bags,Laptop cases,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Laptop Bags,Messenger Bags,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Laptop Bags,Briefcases,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Luggage,Suitcases,,12.75%,16.67%,,,,,,,,
Bags and Travel,Travel,Luggage,Luggage Sets,,12.75%,16.67%,,,,,,,,
Bags and Travel,Travel,Luggage,Kids Luggage,,12.75%,16.67%,,,,,,,,
Bags and Travel,Travel,Travel Accessories,Compression Bags,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Travel Accessories,Travel Size Bottles & Containers,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Travel Accessories,Toiletries & Cosmetics Bags,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Travel Accessories,Organizer Sets,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Travel Accessories,Travel adapters & Converters,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Travel Accessories,Travel pillows & eye masks,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Travel Accessories,Passport Covers,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Travel Accessories,Travel pillows & eye masks,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Travel Accessories,Luggage Scales,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Travel Accessories,Travel pillows & eye masks,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Travel Accessories,Other Packing Organizers,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Travel Accessories,Travel Wallets,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Travel Accessories,Other Travel Accessories,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Travel Accessories,Shoe Bags,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Travel Accessories,Luggage Locks,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Travel Accessories,Luggage Straps & Tags,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Travel Accessories,Garment Bags,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Travel Accessories,Luggage Straps & Tags,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Travel Accessories,Travel pillows & eye masks,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Travel Accessories,Underwear Organizers,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Travel Accessories,Luggage protectors & covers,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Travel Accessories,Luggage Carts,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Travel Bags,Weekender bags,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Travel Bags,Foldable & Drawstring bags,,15.00%,19.21%,,,,,,,,
Bags and Travel,Travel,Travel Bags,Waist Packs,,15.00%,19.21%,,,,,,,,
Bags and Travel,Unisex Bags,Backpacks,,,15.00%,19.21%,,,,,,,,
Bags and Travel,Unisex Bags,Card Holders,,,15.00%,19.21%,,,,,,,,
Bags and Travel,Unisex Bags,Coin Purses & Pouches,,,15.00%,19.21%,,,,,,,,
Bags and Travel,Unisex Bags,Crossbody Bags,,,15.00%,19.21%,,,,,,,,
Bags and Travel,Unisex Bags,Key Holders,,,15.00%,19.21%,,,,,,,,
Bags and Travel,Women Bags,Backpacks,,,15.00%,19.21%,,,,,,,,
Bags and Travel,Women Bags,Clutches,,,15.00%,19.21%,,,,,,,,
Bags and Travel,Women Bags,Cross Body & Shoulder Bags,,,15.00%,19.21%,,,,,,,,
Bags and Travel,Women Bags,Top-Handle Bags,,,15.00%,19.21%,,,,,,,,
Bags and Travel,Women Bags,Tote Bags,,,15.00%,19.21%,,,,,,,,
Bags and Travel,Women Bags,Wallets & Accessories,Wallets,,15.00%,19.21%,,,,,,,,
Bags and Travel,Women Bags,Wallets & Accessories,Key Holders,,15.00%,19.21%,,,,,,,,
Bags and Travel,Women Bags,Wallets & Accessories,Coin Purses & Pouches,,15.00%,19.21%,,,,,,,,
Bags and Travel,Women Bags,Wallets & Accessories,Card Holders,,15.00%,19.21%,,,,,,,,
Bags and Travel,Women Bags,Wallets & Accessories,Bag Charms & Accessories,,15.00%,19.21%,,,,,,,,
Bags and Travel,Women Bags,Wristlets,,,15.00%,19.21%,,,,,,,,
Bedding & Bath,Bath,Bath Mats,,,13.49%,17.50%,,,,,,,,
Bedding & Bath,Bath,Bath Towels,,,13.49%,17.50%,,,,,,,,
Bedding & Bath,Bath,Bathrobes,,,12.35%,16.22%,,,,,,,,
Bedding & Bath,Bath,Bathroom Counter Storage,,,12.35%,16.22%,,,,,,,,
Bedding & Bath,Bath,Bathroom Mirrors,,,12.35%,16.22%,,,,,,,,
Bedding & Bath,Bath,Bathroom Scales,,,12.35%,16.22%,,,,,,,,
Bedding & Bath,Bath,Bathroom Shelving,,,12.35%,16.22%,,,,,,,,
Bedding & Bath,Bath,Linen Towers & Cabinets,,,12.35%,16.22%,,,,,,,,
Bedding & Bath,Bath,Shower Caddies & Hangers,,,12.35%,16.22%,,,,,,,,
Bedding & Bath,Bath,Shower Curtains,,,12.35%,16.22%,,,,,,,,
Bedding & Bath,Bath,Toilet Brushes,,,12.35%,16.22%,,,,,,,,
Bedding & Bath,Bath,Toilet Covers,,,12.35%,16.22%,,,,,,,,
Bedding & Bath,Bath,Toilet Roll Holders,,,12.35%,16.22%,,,,,,,,
Bedding & Bath,Bath,Towel Rails & Warmers,,,12.35%,16.22%,,,,,,,,
Bedding & Bath,Bedding,Bed Runners & Skirts,,,12.35%,16.22%,,,,,,,,
Bedding & Bath,Bedding,Bed Sheets,,,10.44%,14.06%,,,,,,,,
Bedding & Bath,Bedding,Bedding Accessories,,,14.36%,18.49%,,,,,,,,
Bedding & Bath,Bedding,Bedding Sets,,,10.44%,14.06%,,,,,,,,
Bedding & Bath,Bedding,Blankets & Throws,,,10.01%,13.57%,,,,,,,,
Bedding & Bath,Bedding,"Comforters, Quilts & Duvets",,,12.35%,16.22%,,,,,,,,
Bedding & Bath,Bedding,Electric Blankets,,,12.35%,16.22%,,,,,,,,
Bedding & Bath,Bedding,Mattress Pads,,,12.35%,16.22%,,,,,,,,
Bedding & Bath,Bedding,Mattress Protectors,,,12.35%,16.22%,,,,,,,,
Bedding & Bath,Bedding,Pillow Cases,,,12.35%,16.22%,,,,,,,,
Bedding & Bath,Bedding,Pillow Protectors,,,12.35%,16.22%,,,,,,,,
Bedding & Bath,Bedding,Pillows & Bolsters,,,12.35%,16.22%,,,,,,,,
Cameras,Bridge,,,,14.00%,18.08%,,,,,,,,
Cameras,Camera Accessories,Batteries,,,14.00%,18.08%,,,,,,,,
Cameras,Camera Accessories,Battery Chargers,,,14.00%,18.08%,,,,,,,,
Cameras,Camera Accessories,"Camera Cases, Covers and Bags",,,14.00%,18.08%,,,,,,,,
Cameras,Camera Accessories,Camera Remote Controls,,,14.00%,18.08%,,,,,,,,
Cameras,Camera Accessories,Camera Screen Protector,,,14.00%,18.08%,,,,,,,,
Cameras,Camera Accessories,Dry Box,,,14.00%,18.08%,,,,,,,,
Cameras,Camera Accessories,Flashes,,,8.00%,11.30%,,,,,,,,
