Category,Sub Category,Product Category,Sub-Product Category
Test Product （wont be seen in seller pls dont inactive),wxj test none leaf category 01,wxj test leaf category 01,
Test Product （wont be seen in seller pls dont inactive),wxj test none leaf category 01,Test FY SOP Category 1,
Mobiles & Tablets,Tablet Accessories,Stylus Pens,
Mobiles & Tablets,Tablet Accessories,Cases & Covers,
Mobiles & Tablets,Tablet Accessories,Keyboards,
Mobiles & Tablets,Mobile Accessories,Wall Chargers,
Mobiles & Tablets,Mobile Accessories,Wireless Chargers,
Mobiles & Tablets,Mobile Accessories,Selfie Sticks,
Mobiles & Tablets,Mobile Accessories,Phone Camera Flash Lights,
Mobiles & Tablets,Mobile Accessories,Docks & Stands,
Mobiles & Tablets,Mobile Accessories,Car Chargers,
Mobiles & Tablets,Mobile Accessories,Fashion Mobile Accessories,
Mobiles & Tablets,Mobile Accessories,Cables & Converters,
Mobiles & Tablets,Mobile Accessories,Car Mounts,
Mobiles & Tablets,Mobile Accessories,Phone Cases,
Mobiles & Tablets,Mobile Accessories,Screen Protectors,
Mobiles & Tablets,Mobile Accessories,Parts & Tools,Replacement Parts
Mobiles & Tablets,Mobile Accessories,Parts & Tools,SIM Tools
Mobiles & Tablets,Mobile Accessories,Prepaid Cards,
Mobiles & Tablets,Mobile Accessories,Phone Batteries,
Mobiles & Tablets,Mobile Accessories,Power Banks,
Computers & Laptops,Laptops,Traditional Laptops,
Computers & Laptops,Laptops,Gaming Laptops,
Computers & Laptops,Laptops,Chromebooks,
Computers & Laptops,Laptops,Macbooks,
Computers & Laptops,Desktops Computers,All-In-One,
Computers & Laptops,Desktops Computers,Gaming,
Computers & Laptops,Desktops Computers,DIY,
Computers & Laptops,Computer Accessories,Gadgets,
Computers & Laptops,Computer Accessories,Power Cord & Adaptors,
Computers & Laptops,Computer Accessories,Laptop Batteries,
Computers & Laptops,Computer Accessories,Blank Media,
Computers & Laptops,Computer Accessories,Cooling Pads/Cooling Stands,
Computers & Laptops,Computer Accessories,External DVD Writers,
Computers & Laptops,Computer Accessories,Keyboards,Basic
Computers & Laptops,Computer Accessories,Keyboards,Gaming
Computers & Laptops,Computer Accessories,Keyboards,Mice & Keyboard Combos
Computers & Laptops,Computer Accessories,Keyboards,Keyboard Accessories
Computers & Laptops,Computer Accessories,Laptop stands,
Computers & Laptops,Computer Accessories,Mice,Basic
Computers & Laptops,Computer Accessories,Mice,Gaming
Computers & Laptops,Computer Accessories,TV Tuners,
Computers & Laptops,Computer Accessories,Webcams,
Computers & Laptops,Computer Accessories,Surge Protector,
Computers & Laptops,Computer Accessories,Mousepads,Basic
Computers & Laptops,Computer Accessories,Mousepads,Gaming
Computers & Laptops,Computer Accessories,UPS,
Computers & Laptops,Computer Accessories,USB Fans,
Computers & Laptops,Computer Accessories,PC Audio,Gaming Headsets
Computers & Laptops,Computer Accessories,PC Audio,PC Soundbars
Computers & Laptops,Computer Accessories,PC Audio,PC Speaker Systems
Computers & Laptops,Computer Accessories,Monitor Stands,
Computers & Laptops,Computer Accessories,Monitor Screen Filters,
Computers & Laptops,Computer Accessories,USB Hubs,
Computers & Laptops,Computer Accessories,Fingerprint Reader,
Computers & Laptops,Computer Accessories,Bluetooth Adapters,
Computers & Laptops,Computer Accessories,Card Reader,
